REGION,Capital,Total,Akan,Ga_Dangme,Ewe,Guan,Gurma,Mole_Dagbani,Grusi,Mande,Other,Akan_population,Ga_Dangme_population,pop_Ewe,Guan_population,Gurma_population,Mole_Dagbani_population,Grusi_population,Mande_population,Other_population
Ashanti,Kumasi,4780380,74.2,1.2,3.8,1.5,2.8,11.3,2,2,1.1,3547041,57364,181654,71705,133850,540182,95607,95607,52584
Brong Ahafo,Sunyani,2310983,58.9,1.3,3.7,4.1,6.9,18.2,3.9,1.8,1.3,1361168,30042,85506,94750,159457,420598,90128,41597,30042
Central,Cape Coast,2201863,81.7,2.5,6.2,5.3,0.9,1.7,0.5,0.4,0.8,1798922,55046,136515,116698,19816,37431,11009,8807,17614
Eastern,Koforidua,2633154,51.1,17.9,18.9,5.3,1.6,3.2,0.8,0.3,0.8,1345541,471334,497666,139557,42130,84260,21065,7899,21065
Greater Accra,Accra,4010054,39.7,27.4,20.1,1.9,1.6,5.2,1.3,0.7,2,1591991,1098754,806020,76191,64160,208522,52130,28070,80201
Upper West,Wa,2479461,1.4,0.1,0.4,0.8,1.2,73,20.6,0.3,2.1,34712,2479,9917,19835,29753,1810006,510768,7438,52068
Upper East,Bolgatanga,1046545,2.3,0.1,0.3,0.3,4.7,74.7,8.6,5.6,3.4,24070,1046,3139,3139,49187,781769,90002,58606,35582
Northern,Tamale,702110,3.1,0.3,1.7,8.6,27.3,52.7,3.7,0.5,2.1,21765,2106,11935,60381,191676,370011,25978,3510,14744
Volta,Ho,2118252,2.8,1.5,73.8,8.1,11.3,0.5,0.1,0.1,1.8,59311,31773,1563269,171578,239362,10591,2118,2118,38128
Western,Sekondi Takoradi,2376021,78.2,3.1,6.2,0.8,0.9,8.6,0.8,0.8,0.6,1858048,73656,147313,19008,21384,204337,19008,19008,14256
