Region,Capital,Total,by_birth,by_naturalisation,non_Ghanaian,by_birth_population,by_Naturalisation_population,Non_Ghanaian_population
Ashanti,Kumasi,4780380,97.2,0.7,2.1,4646529,33462,100387
Brong Ahafo,Sunyani,2310983,96.6,0.8,2.6,2232409,18487,60085
Central,Cape Coast,2201863,97,0.6,2.4,2135807,13211,52844
Eastern,Koforidua,2633154,97.6,0.7,1.7,2569958,18432,44763
Greater Accra,Accra,4010054,96,1,3,3849651,40100,120301
Upper West,Wa,702110,96.2,0.9,2.9,675429,6318,20361
Upper East,Bolgatanga,1046545,95.9,1.1,2.9,1003636,11511,30349
Northern,Tamale,2479461,96.4,0.9,2.8,2390200,22315,69424
Volta,Ho,2118252,94.8,2.7,2.4,2008102,57192,50838
Western,Sekondi Takoradi,2376021,97.4,0.6,2,2314244,14256,47520
