Region,Total,per_No_Religion,per_Catholic,per_Protestant,per_Pentecostal_Charismatic,per_Other_Christian,per_Islam,per_Traditionalist,per_Other,pop_No_Religion,pop_Catholic,pop_Protestant,pop_Pentecostal_Charismatic,pop_Other_Christian,pop_Islam,pop_Traditionalist,pop_Other
Ashanti,4780380,5.4,12.7,19.7,30.1,15.3,15.2,0.7,0.8,258140,607108,941734,1438894,731398,726617,33462,38243
Brong Ahafo,2310983,7.3,20.1,17.7,24.5,9.9,17,2.7,0.7,168701,464507,409043,566190,228787,392867,62396,16176
Central,2201863,6.6,11.1,21,29.8,21.4,8.7,0.6,0.9,145322,244406,462391,656155,471198,191562,13211,19816
Eastern,2633154,6.5,7.9,24.8,36.3,15.5,6.7,1.4,0.9,171155,208019,653022,955834,408138,176421,36864,23698
Greater Accra,4010054,3.4,7.5,22.3,44.6,8.9,11.9,0.5,1,136341,300754,894242,1788484,356894,477196,20050,40100
Upper West,2479461,3.5,35.7,3,4.3,1.3,38.1,13.9,0.3,86781,885167,74383,106616,32232,944674,344645,7438
Upper East,1046545,2.8,19.9,7.1,11.8,2.9,27.1,27.9,0.6,29303,208262,74304,123492,30349,283613,291986,6279
Northern,702110,2.7,7.6,5,6.3,2.1,60,16,0.4,18956,53360,35105,44232,14744,421266,112337,2808
Volta,2118252,6.6,17.6,21.5,26.6,7.1,5.7,14.1,0.8,139804,372812,455424,563455,150395,120740,298673,16946
Western,2376021,6.7,16.2,21.1,29.5,15.2,9.4,0.8,1,159193,384915,501340,700926,361155,223345,19008,23760
